OrderID,CustomerID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCodeShipCountry,ProductID,UnitPrice,Quantity,Discount
11178,VICTE,1903-11-14,1982-01-15,1905-12-03,3,747.17,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,85.09,9.3,0
11179,VICTE,1991-05-07,1920-06-29,1982-04-17,3,730.04,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,33.19,3.85,0
11180,VICTE,1960-05-19,1957-03-16,1905-09-26,3,694.34,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,13.94,9.9,0
11181,VICTE,1976-08-10,2008-03-19,1938-02-05,3,131.03,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,43.17,2.24,0
11182,VICTE,2006-10-19,1963-12-21,1947-10-27,3,371.71,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,7.46,1.77,0
11183,VICTE,1918-01-08,1964-05-27,1941-09-05,3,17.2,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,22.03,9.76,0
11184,VICTE,1973-12-19,1929-03-09,1961-06-05,3,707.82,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,16.94,9.55,0
11185,VICTE,1942-04-09,1977-05-22,1949-03-07,3,111.5,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,61.13,1.51,0
11186,VICTE,1942-08-03,1958-08-14,1970-05-08,3,568.19,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,98.54,5.52,0
11187,VICTE,1920-05-13,2016-03-28,1967-05-25,3,890.42,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,75.63,1.72,0
11188,VICTE,1967-03-17,1904-07-28,1967-10-19,3,494.47,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,87.4,9.22,0
11189,VICTE,1902-11-10,1995-08-13,2015-08-15,3,746.9,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,66.97,5.56,0
11190,VICTE,1972-02-29,1967-07-14,1945-04-24,3,131.83,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,26.55,1.23,0
11191,VICTE,2013-06-11,1911-02-04,2002-06-10,3,227.62,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,92.37,3.15,0
11192,VICTE,1954-04-09,1985-04-05,1926-04-14,3,483.62,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,39.83,10.31,0
11193,VICTE,1951-07-17,1906-06-12,1967-06-19,3,740.42,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,92.49,9.93,0
11194,VICTE,1924-11-05,1968-04-07,1957-01-19,3,90.61,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,20.02,7.8,0
11195,VICTE,1944-08-14,1977-11-12,1939-10-09,3,404.7,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,65.35,1.6,0
11196,VICTE,1975-04-25,1981-09-06,1983-09-22,3,700.81,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,37.49,8.49,0
11197,VICTE,1963-03-05,1933-02-12,1907-07-18,3,618.02,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,14.18,4.51,0
11198,VICTE,1953-04-23,1918-08-22,1912-03-21,3,931.76,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,98.28,4.49,0
11199,VICTE,1905-10-01,1962-09-06,1955-03-04,3,970.37,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,49.11,2.32,0
11200,VICTE,1997-10-31,1992-05-04,1980-07-21,3,730.88,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,59.52,8.17,0
11201,VICTE,1927-06-04,2014-02-12,2015-01-24,3,781.46,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,42.15,8.69,0
11202,VICTE,1904-01-08,1956-05-01,2013-07-28,3,238.98,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,73.23,8.4,0
11203,VICTE,1969-04-08,2016-05-08,1967-05-17,3,251.36,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,80.76,5.09,0
11204,VICTE,1997-03-10,1936-06-15,1903-01-12,3,860.81,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,35.62,6.46,0
11205,VICTE,1960-01-08,1951-04-28,1982-10-03,3,526.68,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,20.98,3.83,0
11206,VICTE,1974-09-09,2012-03-21,1981-11-17,3,123.46,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,63.04,6.06,0
11207,VICTE,1935-02-12,1992-04-09,1968-02-24,3,1.58,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,26.79,2.95,0
11208,VICTE,1987-12-01,2009-12-11,2006-09-03,3,190.51,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,68.04,2.85,0
11209,VICTE,1939-05-10,1996-04-19,1962-01-17,3,160.18,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,46.6,8.06,0
11210,VICTE,1932-08-12,1902-04-25,1966-12-28,3,420.25,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,36,20.98,7.86,0
11211,VICTE,1979-04-25,1959-11-07,1986-12-22,3,631.87,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,65.56,5.67,0
11212,VICTE,1927-11-11,2003-07-16,1973-04-22,3,510.68,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,11,34.18,9.62,0
11213,VICTE,1906-12-08,1939-06-02,2002-09-22,3,22.41,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France,51100,71,16.6,9.04,0
