ProductID,ProductName,CategoryID,unitPrice
178,Gustaf's Knäckebröd,5,43.87
179,Queso Manchego La Pastora,5,27.37
180,Queso Manchego La Pastora,5,65.8
181,Queso Manchego La Pastora,5,34.08
182,Singaporean Hokkien Fried Mee,5,46.33
183,Queso Manchego La Pastora,5,95.36
184,Singaporean Hokkien Fried Mee,5,36.52
185,Queso Manchego La Pastora,5,16.29
186,Queso Manchego La Pastora,5,30.86
187,Singaporean Hokkien Fried Mee,5,87.4
188,Gustaf's Knäckebröd,5,41.29
189,Singaporean Hokkien Fried Mee,5,69.11
190,Queso Manchego La Pastora,5,19.58
191,Gustaf's Knäckebröd,5,25.8
192,Singaporean Hokkien Fried Mee,5,31.52
193,Singaporean Hokkien Fried Mee,5,30.51
194,Singaporean Hokkien Fried Mee,5,80.09
195,Singaporean Hokkien Fried Mee,5,59.81
196,Singaporean Hokkien Fried Mee,5,76.61
197,Queso Manchego La Pastora,5,96.85
198,Gustaf's Knäckebröd,5,53.75
199,Queso Manchego La Pastora,5,10.75
200,Queso Manchego La Pastora,5,23.98
201,Singaporean Hokkien Fried Mee,5,13.29
202,Gustaf's Knäckebröd,5,64.97
203,Gustaf's Knäckebröd,5,48.24
204,Gustaf's Knäckebröd,5,27.37
205,Gustaf's Knäckebröd,5,42.12
206,Singaporean Hokkien Fried Mee,5,58.07
207,Gustaf's Knäckebröd,5,31.42
208,Queso Manchego La Pastora,5,92.41
209,Queso Manchego La Pastora,5,86.47
210,Singaporean Hokkien Fried Mee,5,58.32
211,Gustaf's Knäckebröd,5,51.34
212,Singaporean Hokkien Fried Mee,5,66.73
213,Singaporean Hokkien Fried Mee,5,28.29
214,Gustaf's Knäckebröd,5,34.2
215,Singaporean Hokkien Fried Mee,5,45.09
216,Gustaf's Knäckebröd,5,88.54
217,Gustaf's Knäckebröd,5,94.68
218,Queso Manchego La Pastora,5,41.35
219,Gustaf's Knäckebröd,5,83.99
220,Gustaf's Knäckebröd,5,66.94
221,Queso Manchego La Pastora,5,15.87
222,Singaporean Hokkien Fried Mee,5,90.14
223,Queso Manchego La Pastora,5,70.62
224,Singaporean Hokkien Fried Mee,5,51.46
225,Singaporean Hokkien Fried Mee,5,55.67
226,Singaporean Hokkien Fried Mee,5,65.27
227,Gustaf's Knäckebröd,5,58.54
228,Queso Manchego La Pastora,5,63.01
229,Queso Manchego La Pastora,5,76.36
230,Queso Manchego La Pastora,5,69.22
231,Singaporean Hokkien Fried Mee,5,78.19
232,Gustaf's Knäckebröd,5,69.06
233,Gustaf's Knäckebröd,5,86.26
234,Queso Manchego La Pastora,5,56.66
235,Singaporean Hokkien Fried Mee,5,92.14
236,Gustaf's Knäckebröd,5,50.23
237,Singaporean Hokkien Fried Mee,5,96.16
238,Singaporean Hokkien Fried Mee,5,20.57
239,Gustaf's Knäckebröd,5,40.07
240,Singaporean Hokkien Fried Mee,5,63.66
241,Queso Manchego La Pastora,5,43.1
242,Singaporean Hokkien Fried Mee,5,70.41
243,Singaporean Hokkien Fried Mee,5,44.41
244,Gustaf's Knäckebröd,5,87.2
245,Queso Manchego La Pastora,5,93.08
246,Queso Manchego La Pastora,5,95.5
